,id,comment,reviewerName,updateDate,totalPoint,photoCount,reviewPhotos,shopId,shopName,stylerId,stylerName,stylerLevel,stylerActive,productName,userChargedPrice,complianceStatus,blindAt,retreatment,reply,replyable
161,2392,친절하고 시술에대한 설명도좋았어요,김*혜,3년 전,5.0,0,[],1076,반함헤어,1958.0,히로,원장,True,로레알 셋팅,0,NORMAL,,NONE,{},False
220,794994,"어제 히로원장님께 고데기 펌 했습니다~ 제가 머리가 길고 숱도많고... 상한머리였는데, 펌완전 예쁘게나왔어용!!! 여태껏 십년넘께  펌하면서 맘에들었던적 없었는데 넘나 만족함니다!!! 특히 저 앞머리라인..... 최고입니다! 머리잘해주시고 친절하셔서 좋았습니다!",이*정,9달 전,5.0,1,"[{'photoThumbUrl': 'https://mud-kage.kakao.com/dn/bkbgKT/btqxmNhNOll/XIV8mKHGOI5k9hEN5IpZ41/img_375x375.jpg', 'photoUrl': 'https://mud-kage.kakao.com/dn/bkbgKT/btqxmNhNOll/XIV8mKHGOI5k9hEN5IpZ41/img.png', 'resizedPhoto': {'photoUrl': 'https://mud-kage.kakao.com/dn/bkbgKT/btqxmNhNOll/XIV8mKHGOI5k9hEN5IpZ41/img_375x375.jpg', 'photoWidth': 375, 'photoHeight': 375}}]",1076,반함,1958.0,히로,원장,True,여신머리 고데기펌,0,NORMAL,,FRESH,"{'id': 484391, 'comment': '머리 너무 예쁘세요 ~~~^^* 후기 감사합니다 좋은 주말 되세요~~!', 'updateDate': '9달 전', 'author': '반함', 'complianceStatus': 'NORMAL', 'blindAt': ''}",False
219,798694,역시.....반함헤어 고데기펌 기대를 져버리지 않아요~ 두번째 하는건댕.... 이번머리도 대만족입니다~~ 평생 단골할것같아요~ ㅎㅎㅎㅎ,임*성,9달 전,5.0,1,"[{'photoThumbUrl': 'https://mud-kage.kakao.com/dn/k0dZi/btqxpuPrwM0/TyH4rCJpkuRaWhXVvYveK0/img_375x375.jpg', 'photoUrl': 'https://mud-kage.kakao.com/dn/k0dZi/btqxpuPrwM0/TyH4rCJpkuRaWhXVvYveK0/img.jpg', 'resizedPhoto': {'photoUrl': 'https://mud-kage.kakao.com/dn/k0dZi/btqxpuPrwM0/TyH4rCJpkuRaWhXVvYveK0/img_375x375.jpg', 'photoWidth': 375, 'photoHeight': 375}}]",1076,반함,13847.0,이은,수석디자이너,True,"고데기펌 올인원 해성,이은디자이너",0,NORMAL,,RETREATMENT,"{'id': 487884, 'comment': '항상 믿고 와주셔서 감사합니다 평생 함께 해요^^*', 'updateDate': '9달 전', 'author': '반함', 'complianceStatus': 'NORMAL', 'blindAt': ''}",False
218,805703,라희쌤한테 머리 한 이후로 너무 맘에 들어서 라희쌤 가시는 곳 마다 따라다니고 있어요. 멀리 나가기 귀찮아서 근처에서 머리 해봐도 라희쌤이 해주시는 스타일이 제일 맘에 들어서 결국엔 라희쌤 계시는 곳으로 오게되네요. 담에 또 머리하러 갈께요!,정*혜,9달 전,5.0,0,[],1076,반함,,,,False,[컷기획전]존예컷,0,NORMAL,,FRESH,"{'id': 493682, 'comment': '믿고 와주셔서 감사합니다~~~^^* 후기 너무 감사해요 ~!', 'updateDate': '9달 전', 'author': '반함', 'complianceStatus': 'NORMAL', 'blindAt': ''}",False
217,806297,"첫 방문인데 꼼꼼하게 체크해주시고, 가는 모발인데도 원하는 펌으로 잘 나와서 만족합니다~~   펌은 히로 원장님 추천해요~!!",진*현,9달 전,5.0,1,"[{'photoThumbUrl': 'https://mud-kage.kakao.com/dn/bKjigt/btqxxaX6aQN/FNkBoik71S0y4xwI9GJuuK/img_375x375.jpg', 'photoUrl': 'https://mud-kage.kakao.com/dn/bKjigt/btqxxaX6aQN/FNkBoik71S0y4xwI9GJuuK/img.jpg', 'resizedPhoto': {'photoUrl': 'https://mud-kage.kakao.com/dn/bKjigt/btqxxaX6aQN/FNkBoik71S0y4xwI9GJuuK/img_375x375.jpg', 'photoWidth': 375, 'photoHeight': 375}}]",1076,반함,1958.0,히로,원장,True,시세이도 셋팅,0,NORMAL,,FRESH,"{'id': 493686, 'comment': '머리 너무 예쁘세요 ^^* 손질 배우신데로 잘해주세요 ~~~ 감사합니다~~~!', 'updateDate': '9달 전', 'author': '반함', 'complianceStatus': 'NORMAL', 'blindAt': ''}",False
216,808643,원래 미용실 유목민이었는데 저번에 했던 펌이 너무 마음에 들어서  또 방문했어요  히로 원장님과 스텝들의 세심함에 항상 감동받고  밀리는 법도 자세하게 알려주셔서 넘 좋아요    펌도 예쁘게 잘 나왔어요 다음에 또 갈께요  ,채*온,9달 전,5.0,0,[],1076,반함,1958.0,히로,원장,True,여신머리 고데기펌,0,NORMAL,,RETREATMENT,"{'id': 493687, 'comment': '믿고 다시 와주셔서 감사합니다^^* 다음에 또 찾아주세요 ~~~^^*', 'updateDate': '9달 전', 'author': '반함', 'complianceStatus': 'NORMAL', 'blindAt': ''}",False
215,826518,미용실에서도 오 잘나와따! 했는데 집와서 보니까 생각보다 더 잘됐어요!!!!! ㅎㅎ 제 머리 만져주신 모든 분들께 너무 감사합니다 ㅠㅠ 특히 히로원장님! 머리 하는동안 계속 틈틈히 신경써주셔서 감사해요.. 키위스무디랑 딸기스무디랑 프레첼도 맛있었습니다 직원분들 너무 친절하세요..     가격도 저렴하구 서비스도 좋구 결과물도 만족스럽구 다음에 꼭 또 올게요 ㅎㅎ❤️,김*예,8달 전,5.0,2,"[{'photoThumbUrl': 'https://mud-kage.kakao.com/dn/Wt05G/btqxONITMy8/fQI1aBWH4YtlmqKKgVEV9k/img_375x375.jpg', 'photoUrl': 'https://mud-kage.kakao.com/dn/Wt05G/btqxONITMy8/fQI1aBWH4YtlmqKKgVEV9k/img.png', 'resizedPhoto': {'photoUrl': 'https://mud-kage.kakao.com/dn/Wt05G/btqxONITMy8/fQI1aBWH4YtlmqKKgVEV9k/img_375x375.jpg', 'photoWidth': 375, 'photoHeight': 375}}, {'photoThumbUrl': 'https://mud-kage.kakao.com/dn/bZJp6l/btqxOOnuHDs/cgYLayu0JSQ0687NKr71W0/img_375x375.jpg', 'photoUrl': 'https://mud-kage.kakao.com/dn/bZJp6l/btqxOOnuHDs/cgYLayu0JSQ0687NKr71W0/img.png', 'resizedPhoto': {'photoUrl': 'https://mud-kage.kakao.com/dn/bZJp6l/btqxOOnuHDs/cgYLayu0JSQ0687NKr71W0/img_375x375.jpg', 'photoWidth': 375, 'photoHeight': 375}}]",1076,반함,1958.0,히로,원장,True,여신머리 고데기펌,0,NORMAL,,FRESH,"{'id': 512440, 'comment': '후기 감사합니다~~^^* 다음에도 예쁘게 잘해드릴게요 ~!', 'updateDate': '8달 전', 'author': '반함', 'complianceStatus': 'NORMAL', 'blindAt': ''}",False
214,830321,머리 이쁘게 되구 손질법 자세하게 알려주셔서 유익했어요 직원분들도 다 친절해요!,차*현,8달 전,5.0,2,"[{'photoThumbUrl': 'https://mud-kage.kakao.com/dn/byd2wZ/btqxWdsKWfd/uBc0XUmGGuykzlCPqJEDT0/img_375x375.jpg', 'photoUrl': 'https://mud-kage.kakao.com/dn/byd2wZ/btqxWdsKWfd/uBc0XUmGGuykzlCPqJEDT0/img.jpg', 'resizedPhoto': {'photoUrl': 'https://mud-kage.kakao.com/dn/byd2wZ/btqxWdsKWfd/uBc0XUmGGuykzlCPqJEDT0/img_375x375.jpg', 'photoWidth': 375, 'photoHeight': 375}}, {'photoThumbUrl': 'https://mud-kage.kakao.com/dn/bomytF/btqxVeZ0jV5/UdDotFkzwkY26Fj56dKBr1/img_375x375.jpg', 'photoUrl': 'https://mud-kage.kakao.com/dn/bomytF/btqxVeZ0jV5/UdDotFkzwkY26Fj56dKBr1/img.jpg', 'resizedPhoto': {'photoUrl': 'https://mud-kage.kakao.com/dn/bomytF/btqxVeZ0jV5/UdDotFkzwkY26Fj56dKBr1/img_375x375.jpg', 'photoWidth': 375, 'photoHeight': 375}}]",1076,반함,13847.0,이은,수석디자이너,True,여신머리 고데기펌,0,NORMAL,,RETREATMENT,"{'id': 512441, 'comment': '후기 감사합니다 ~~~^^* 다음에도 꼭 찾아주세요 ~!', 'updateDate': '8달 전', 'author': '반함', 'complianceStatus': 'NORMAL', 'blindAt': ''}",False
221,785334,제가 말려도 이렇게 나올 수 있어요.ㅎㅎ만족만족,문*서,9달 전,5.0,1,"[{'photoThumbUrl': 'https://mud-kage.kakao.com/dn/hTA9Y/btqxe5vxLIU/kWDg8qhPIj3oWpwIyX0NlK/img_375x375.jpg', 'photoUrl': 'https://mud-kage.kakao.com/dn/hTA9Y/btqxe5vxLIU/kWDg8qhPIj3oWpwIyX0NlK/img.jpg', 'resizedPhoto': {'photoUrl': 'https://mud-kage.kakao.com/dn/hTA9Y/btqxe5vxLIU/kWDg8qhPIj3oWpwIyX0NlK/img_375x375.jpg', 'photoWidth': 375, 'photoHeight': 375}}]",1076,반함,13847.0,이은,수석디자이너,True,"고데기펌 올인원 해성,이은디자이너",0,NORMAL,,FRESH,"{'id': 482611, 'comment': '손질 너무 잘하셨어요 ~~ 감사합니다❤️', 'updateDate': '9달 전', 'author': '반함', 'complianceStatus': 'NORMAL', 'blindAt': ''}",False
213,842233,머리말리는법도 친절하게 알려주시고 컬도 이쁘게 나와써여  ,이*아,8달 전,5.0,1,"[{'photoThumbUrl': 'https://mud-kage.kakao.com/dn/ONMKp/btqx8T2i9R6/ZuZoU3UOeXQ0NLUvHRIBS0/img_375x375.jpg', 'photoUrl': 'https://mud-kage.kakao.com/dn/ONMKp/btqx8T2i9R6/ZuZoU3UOeXQ0NLUvHRIBS0/img.png', 'resizedPhoto': {'photoUrl': 'https://mud-kage.kakao.com/dn/ONMKp/btqx8T2i9R6/ZuZoU3UOeXQ0NLUvHRIBS0/img_375x375.jpg', 'photoWidth': 375, 'photoHeight': 375}}]",1076,반함,13847.0,이은,수석디자이너,True,여신머리 고데기펌,0,NORMAL,,FRESH,"{'id': 536433, 'comment': '컬 너무 예쁘세요 ~~~^^* 다음에 또 찾아주세요~', 'updateDate': '7달 전', 'author': '반함', 'complianceStatus': 'NORMAL', 'blindAt': ''}",False
