,id,fullName,bestShop,name,branchName,keyword,reviewTotalPoint,reviewCount,favoriteCount,representativeColorPrice,representativeCutPrice,representativePermPrice,hotShop,wgspointX,wgspointY,input_index
0,7180,본연애헤어 묵동점,False,본연애헤어,묵동점,본연애헤어 묵동점,5.0,1,3,65000.0,15000.0,50000.0,False,127.07613434701928,37.609175259495046,2494
1,1853,엘누에보헤어라운지,True,엘누에보헤어라운지,,엘헤어,4.8,1031,807,80000.0,21000.0,70000.0,False,127.13819599671301,37.529723239069796,1911
2,517,민헤어,False,민헤어,,민헤어살롱,4.7,288,279,45000.0,12300.0,45000.0,False,127.89507808949399,34.8391313172087,2568
3,5703,코벨헤어 본점,True,코벨헤어,본점,코벨헤어 본점,4.9,2463,1662,56000.0,18000.0,76000.0,False,127.10941631904,37.5022331659065,169
4,4557,수인스타일 삼성점,False,수인스타일,삼성점,수인헤어,4.9,276,186,66000.0,20000.0,77000.0,False,127.052736377641,37.513469754990396,254
5,74,수인스타일 논현점,False,수인스타일,논현점,수인헤어,4.8,68,146,130000.0,25000.0,100000.0,False,127.03563626707701,37.508394487040206,737
6,693,누보,False,누보,,누보,4.9,781,1027,82500.0,24000.0,88000.0,False,127.02459663126,37.5195805628866,2613
7,687,헤어광,False,헤어광,,헤어광,4.9,208,295,60000.0,15000.0,50000.0,False,127.094414474564,37.54168118370779,2617
8,3684,준오헤어 강남화이트점,True,준오헤어,강남화이트점,준오헤어 강남화이트점,4.8,1650,3181,,27000.0,198000.0,False,127.02614593399107,37.49889226142066,197
9,7218,세종헤어 헬리오시티점,False,세종헤어,헬리오시티점,세종헤어 헬리오시티점,5.0,2,14,71200.0,22000.0,79200.0,False,127.11204618376064,37.49875281914407,2628
10,7540,준오헤어 남부터미널역점,False,준오헤어,남부터미널역점,준오헤어 남부터미널역점,4.9,114,95,117000.0,27000.0,140400.0,False,127.01557961719124,37.485550209252665,170
11,758,리안헤어 미아사거리역점,False,리안헤어,미아사거리역점,리안헤어 미아사거리역점,4.8,158,281,64000.0,16000.0,70000.0,False,127.02980001207683,37.61309283304397,171
12,1303,리안헤어 위례신도시점,False,리안헤어,위례신도시점,리안헤어 위례신도시점,4.7,90,104,59500.0,15000.0,64400.0,False,127.14347597085134,37.47889396888136,2670
13,2085,더함헤어,False,더함헤어,,더함헤어,4.8,33,141,56000.0,18000.0,56000.0,False,127.020054848392,37.5911927138076,2671
14,4392,사틴헤어 대치점,False,사틴헤어,대치점,사틴헤어 대치점,4.7,22,33,81000.0,18000.0,108000.0,False,127.06344343266599,37.5001872805491,2675
15,1076,반함,False,반함,,반함헤어,4.8,289,1266,89000.0,25000.0,79000.0,False,127.025952630483,37.502381900299795,208
16,240,박승철헤어스투디오 홍대점,False,박승철헤어스투디오,홍대점,박승철헤어스투디오 홍대점,4.6,484,559,56000.0,18400.0,10800.0,False,126.92478297609316,37.55632628567388,31
17,886,리안헤어 가양자이타워점,False,리안헤어,가양자이타워점,리안헤어 가양자이타워점,4.8,1979,1412,48000.0,15000.0,72000.0,False,126.848699504452,37.5650659456245,225
18,111,파란헤어 강남허브점,True,파란헤어,강남허브점,파란헤어 강남허브점,4.9,5493,3188,59500.0,20400.0,59500.0,False,127.02261991824699,37.5066101028994,249
19,2710,보그헤어 구로지밸리몰점,False,보그헤어,구로지밸리몰점,보그헤어 구로지밸리몰점,4.8,155,125,64000.0,17600.0,104000.0,False,126.896498534982,37.484957187479786,259
20,2909,탐스런헤어 탐스퀘어점,True,탐스런헤어,탐스퀘어점,탐스런헤어 탐스퀘어점,4.8,2802,2444,77000.0,20000.0,66000.0,False,126.905280099095,37.5183522156637,290
21,1,파란헤어 강남본점,True,파란헤어,강남본점,파란헤어 강남본점,4.8,17056,11326,59500.0,20400.0,59500.0,False,127.023868565177,37.50669635368449,39
22,3060,제오헤어 신용산역점,False,제오헤어,신용산역점,제오헤어 신용산역점,4.7,156,131,96000.0,25000.0,96000.0,False,126.96641779251296,37.52881948080867,393
23,2006,살롱드마샬 명동점,False,살롱드마샬,명동점,살롱드마샬 명동점,4.7,110,164,135000.0,24000.0,165000.0,False,126.985408186274,37.5631617805287,416
24,688,헤어인카페 왕십리점,True,헤어인카페,왕십리점,헤어인카페 왕십리점,4.7,2099,2981,50000.0,42000.0,170000.0,False,127.033909704363,37.5619937250765,439
25,2992,파란헤어 약수점,True,파란헤어,약수점,파란헤어 약수점,4.9,3674,1854,59500.0,20400.0,59500.0,False,127.010972894468,37.5527574560151,490
26,548,리안헤어 구로디지털밸리점,False,리안헤어,구로디지털밸리점,리안헤어 구로디지털밸리점,4.8,161,169,51000.0,18000.0,48000.0,False,126.8970785570472,37.482492535643054,505
27,149,헤어더뷰 서울대입구역점,False,헤어더뷰,서울대입구역점,헤어더뷰 서울대입구역점,4.7,3807,3269,85000.0,20000.0,110500.0,False,126.95298388791001,37.4823333903676,47
28,118,헤어팰리스 잠실관광호텔점,False,헤어팰리스,잠실관광호텔점,헤어팰리스 잠실관광호텔점,4.7,448,244,80000.0,18000.0,100000.0,False,127.088034743313,37.5049324269988,601
29,3757,헤어더뷰 강남점,False,헤어더뷰,강남점,헤어더뷰 강남점,4.9,2238,2086,68000.0,18000.0,68000.0,False,127.02643185433969,37.49834708897485,53
